[2025-10-31 13:28:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:28:22] [DEBUG   ] discord.client: Dispatching event message
[2025-10-31 13:28:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 16, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-31T11:28:24.608000+00:00', 'pinned': False, 'nonce': '1433779640039636992', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433502258146050088'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-12T13:26:30.720000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433779640396152852', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'f_uck', 'components': [], 'channel_type': 0, 'channel_id': '1206592169897623555', 'author': {'username': 'ledmasker_', 'public_flags': 64, 'primary_guild': None, 'id': '1125160333057724517', 'global_name': 'Led MASKER', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}, 'attachments': [], 'guild_id': '1206592169897623552'}}
[2025-10-31 13:28:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:28:24] [DEBUG   ] discord.client: Dispatching event message
[2025-10-31 13:28:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 17, 'op': 0, 'd': {'id': '1433779640396152852', 'channel_id': '1206592169897623555', 'guild_id': '1206592169897623552'}}
[2025-10-31 13:28:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:28:25] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-10-31 13:28:25] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-10-31 13:28:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 18, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-31T11:28:25.373000+00:00', 'pinned': False, 'nonce': '18201115841769346565', 'mentions': [{'username': 'ledmasker_', 'public_flags': 64, 'primary_guild': None, 'member': {'roles': ['1433502258146050088'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-12T13:26:30.720000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1125160333057724517', 'global_name': 'Led MASKER', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433138077936779389'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-29T16:59:04.226000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433779643604930602', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@1125160333057724517> - Message deleted! Because LedMasker dislikes it.', 'components': [], 'channel_type': 0, 'channel_id': '1206592169897623555', 'author': {'username': 'MyDcBot', 'public_flags': 0, 'primary_guild': None, 'id': '1433136113056485517', 'global_name': None, 'display_name_styles': None, 'discriminator': '4958', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1206592169897623552'}}
[2025-10-31 13:28:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:28:25] [DEBUG   ] discord.client: Dispatching event message
